week,opened,closed
2009-12-28,0,0
2010-01-04,0,0
2010-01-11,0,0
2010-01-18,0,0
2010-01-25,0,0
2010-02-01,0,0
2010-02-08,0,0
2010-02-15,0,0
2010-02-22,0,0
2010-03-01,0,0
2010-03-08,0,0
2010-03-15,0,0
2010-03-22,0,0
2010-03-29,0,0
2010-04-05,0,0
2010-04-12,0,0
2010-04-19,0,0
2010-04-26,0,0
2010-05-03,0,0
2010-05-10,0,0
2010-05-17,0,0
2010-05-24,0,0
2010-05-31,0,0
2010-06-07,0,0
2010-06-14,0,0
2010-06-21,0,0
2010-06-28,0,0
2010-07-05,0,0
2010-07-12,0,0
2010-07-19,0,0
2010-07-26,0,0
2010-08-02,0,0
2010-08-09,0,0
2010-08-16,0,0
2010-08-23,0,0
2010-08-30,0,0
2010-09-06,0,0
2010-09-13,0,0
2010-09-20,0,0
2010-09-27,0,0
2010-10-04,0,0
2010-10-11,0,0
2010-10-18,0,0
2010-10-25,0,0
2010-11-01,0,0
2010-11-08,0,0
2010-11-15,0,0
2010-11-22,1,0
2010-11-29,1,0
2010-12-06,1,0
2010-12-13,1,0
2010-12-20,1,0
2010-12-27,3,1
2011-01-03,3,1
2011-01-10,4,1
2011-01-17,4,1
2011-01-24,5,1
2011-01-31,6,1
2011-02-07,6,1
2011-02-14,7,1
2011-02-21,7,2
2011-02-28,7,3
2011-03-07,7,3
2011-03-14,7,3
2011-03-21,7,3
2011-03-28,7,3
2011-04-04,7,3
2011-04-11,8,3
2011-04-18,8,3
2011-04-25,8,3
2011-05-02,8,3
2011-05-09,9,3
2011-05-16,9,3
2011-05-23,9,3
2011-05-30,10,3
2011-06-06,10,3
2011-06-13,12,3
2011-06-20,12,3
2011-06-27,12,3
2011-07-04,12,4
2011-07-11,14,4
2011-07-18,14,5
2011-07-25,15,5
2011-08-01,15,7
2011-08-08,16,7
2011-08-15,18,7
2011-08-22,21,7
2011-08-29,21,7
2011-09-05,22,8
2011-09-12,22,9
2011-09-19,23,9
2011-09-26,25,11
2011-10-03,25,11
2011-10-10,25,11
2011-10-17,26,11
2011-10-24,26,11
2011-10-31,26,11
2011-11-07,26,11
2011-11-14,26,11
2011-11-21,26,11
2011-11-28,27,14
2011-12-05,27,14
2011-12-12,28,14
2011-12-19,30,15
2011-12-26,30,16
2012-01-02,30,16
2012-01-09,30,16
2012-01-16,30,16
2012-01-23,30,17
2012-01-30,31,17
2012-02-06,31,17
2012-02-13,32,17
2012-02-20,32,17
2012-02-27,32,17
2012-03-05,32,17
2012-03-12,32,18
2012-03-19,32,19
2012-03-26,32,19
2012-04-02,32,19
2012-04-09,32,19
2012-04-16,32,19
2012-04-23,32,19
2012-04-30,32,19
2012-05-07,33,19
2012-05-14,33,19
2012-05-21,33,19
2012-05-28,33,19
2012-06-04,33,20
2012-06-11,34,20
2012-06-18,34,20
2012-06-25,34,20
2012-07-02,34,20
2012-07-09,34,20
2012-07-16,34,21
2012-07-23,34,21
2012-07-30,34,21
2012-08-06,34,22
2012-08-13,34,22
2012-08-20,34,22
2012-08-27,35,22
2012-09-03,36,22
2012-09-10,36,22
2012-09-17,36,22
2012-09-24,37,28
2012-10-01,37,28
2012-10-08,37,28
2012-10-15,38,28
2012-10-22,38,28
2012-10-29,40,28
2012-11-05,40,29
2012-11-12,40,31
2012-11-19,40,31
2012-11-26,40,31
2012-12-03,40,33
2012-12-10,40,33
2012-12-17,40,33
2012-12-24,40,33
2012-12-31,40,33
2013-01-07,41,33
2013-01-14,42,33
2013-01-21,42,34
2013-01-28,44,34
2013-02-04,44,34
2013-02-11,46,35
2013-02-18,46,36
2013-02-25,47,36
2013-03-04,47,36
2013-03-11,49,36
2013-03-18,49,36
2013-03-25,51,37
2013-04-01,52,37
2013-04-08,53,37
2013-04-15,53,37
2013-04-22,54,37
2013-04-29,55,37
2013-05-06,55,37
2013-05-13,55,37
2013-05-20,56,37
2013-05-27,56,38
2013-06-03,56,38
2013-06-10,56,38
2013-06-17,58,40
2013-06-24,60,40
2013-07-01,60,40
2013-07-08,61,40
2013-07-15,61,42
2013-07-22,61,44
2013-07-29,61,44
2013-08-05,61,44
2013-08-12,61,44
2013-08-19,61,44
2013-08-26,61,46
2013-09-02,61,46
2013-09-09,61,46
2013-09-16,61,46
2013-09-23,62,46
2013-09-30,62,46
2013-10-07,62,46
2013-10-14,62,46
2013-10-21,62,46
2013-10-28,62,46
2013-11-04,63,46
2013-11-11,63,46
2013-11-18,63,46
2013-11-25,63,46
2013-12-02,63,46
2013-12-09,63,46
2013-12-16,63,46
2013-12-23,64,46
2013-12-30,64,46
2014-01-06,66,48
2014-01-13,67,48
2014-01-20,67,48
2014-01-27,67,48
2014-02-03,67,50
2014-02-10,70,51
2014-02-17,72,51
2014-02-24,74,51
2014-03-03,74,51
2014-03-10,74,51
2014-03-17,74,51
2014-03-24,74,51
2014-03-31,74,51
2014-04-07,75,51
2014-04-14,75,53
2014-04-21,75,53
2014-04-28,75,54
2014-05-05,76,54
2014-05-12,76,54
2014-05-19,77,54
2014-05-26,77,54
2014-06-02,77,54
2014-06-09,77,54
2014-06-16,77,55
2014-06-23,77,55
2014-06-30,78,55
2014-07-07,78,55
2014-07-14,78,55
2014-07-21,78,55
2014-07-28,78,55
2014-08-04,78,55
2014-08-11,78,55
2014-08-18,79,55
2014-08-25,79,56
2014-09-01,79,56
2014-09-08,79,57
2014-09-15,79,57
2014-09-22,81,57
2014-09-29,82,57
2014-10-06,82,57
2014-10-13,82,57
2014-10-20,82,57
2014-10-27,82,57
2014-11-03,82,57
2014-11-10,82,57
2014-11-17,83,57
2014-11-24,83,57
2014-12-01,83,57
2014-12-08,83,57
2014-12-15,83,57
2014-12-22,84,57
2014-12-29,84,57
2015-01-05,84,57
2015-01-12,84,57
2015-01-19,84,57
2015-01-26,87,58
2015-02-02,87,59
2015-02-09,88,59
2015-02-16,88,59
2015-02-23,88,59
2015-03-02,90,61
2015-03-09,90,61
2015-03-16,90,61
2015-03-23,90,61
2015-03-30,90,61
2015-04-06,90,61
2015-04-13,90,62
2015-04-20,90,62
2015-04-27,90,62
2015-05-04,90,62
2015-05-11,90,62
2015-05-18,90,62
2015-05-25,90,62
2015-06-01,90,62
2015-06-08,90,62
2015-06-15,90,62
2015-06-22,90,62
2015-06-29,90,62
2015-07-06,91,62
2015-07-13,91,62
2015-07-20,91,62
2015-07-27,93,62
2015-08-03,93,62
2015-08-10,93,62
2015-08-17,93,62
2015-08-24,93,62
2015-08-31,93,62
2015-09-07,93,62
2015-09-14,93,62
2015-09-21,93,62
2015-09-28,93,62
2015-10-05,93,62
2015-10-12,93,62
2015-10-19,93,62
2015-10-26,93,78
2015-11-02,93,78
2015-11-09,93,78
2015-11-16,93,78
2015-11-23,93,78
2015-11-30,94,78
2015-12-07,94,78
2015-12-14,94,78
2015-12-21,94,78
2015-12-28,94,78
2016-01-04,94,78
2016-01-11,94,78
2016-01-18,94,78
2016-01-25,94,78
2016-02-01,94,78
2016-02-08,94,78
2016-02-15,94,78
2016-02-22,94,78
2016-02-29,95,78
2016-03-07,96,78
2016-03-14,97,78
2016-03-21,97,78
2016-03-28,97,78
2016-04-04,98,78
2016-04-11,99,78
2016-04-18,99,78
2016-04-25,102,78
2016-05-02,102,78
2016-05-09,103,80
2016-05-16,103,80
2016-05-23,103,80
