week,opened,closed
2009-12-28,0,0
2010-01-04,0,0
2010-01-11,0,0
2010-01-18,0,0
2010-01-25,0,0
2010-02-01,0,0
2010-02-08,0,0
2010-02-15,0,0
2010-02-22,0,0
2010-03-01,0,0
2010-03-08,0,0
2010-03-15,0,0
2010-03-22,0,0
2010-03-29,0,0
2010-04-05,0,0
2010-04-12,0,0
2010-04-19,0,0
2010-04-26,0,0
2010-05-03,1,0
2010-05-10,1,0
2010-05-17,1,0
2010-05-24,1,0
2010-05-31,1,0
2010-06-07,1,0
2010-06-14,2,0
2010-06-21,2,0
2010-06-28,2,0
2010-07-05,2,0
2010-07-12,3,0
2010-07-19,3,0
2010-07-26,4,0
2010-08-02,4,0
2010-08-09,4,0
2010-08-16,4,0
2010-08-23,4,0
2010-08-30,4,0
2010-09-06,4,0
2010-09-13,4,0
2010-09-20,5,0
2010-09-27,5,0
2010-10-04,5,0
2010-10-11,5,0
2010-10-18,5,0
2010-10-25,5,0
2010-11-01,5,0
2010-11-08,5,0
2010-11-15,5,0
2010-11-22,5,0
2010-11-29,5,0
2010-12-06,5,0
2010-12-13,5,0
2010-12-20,5,0
2010-12-27,5,0
2011-01-03,5,0
2011-01-10,5,0
2011-01-17,5,0
2011-01-24,5,0
2011-01-31,5,0
2011-02-07,5,0
2011-02-14,5,0
2011-02-21,5,0
2011-02-28,5,0
2011-03-07,5,0
2011-03-14,5,0
2011-03-21,5,0
2011-03-28,5,0
2011-04-04,5,0
2011-04-11,5,0
2011-04-18,5,0
2011-04-25,5,0
2011-05-02,5,0
2011-05-09,5,0
2011-05-16,5,0
2011-05-23,5,0
2011-05-30,5,0
2011-06-06,5,0
2011-06-13,5,0
2011-06-20,5,0
2011-06-27,5,0
2011-07-04,5,0
2011-07-11,5,0
2011-07-18,5,0
2011-07-25,5,0
2011-08-01,5,0
2011-08-08,5,0
2011-08-15,5,0
2011-08-22,5,0
2011-08-29,5,0
2011-09-05,5,0
2011-09-12,5,0
2011-09-19,5,0
2011-09-26,5,0
2011-10-03,6,0
2011-10-10,6,0
2011-10-17,9,0
2011-10-24,9,0
2011-10-31,9,0
2011-11-07,9,0
2011-11-14,9,0
2011-11-21,9,0
2011-11-28,9,0
2011-12-05,9,0
2011-12-12,9,0
2011-12-19,9,0
2011-12-26,9,0
2012-01-02,9,0
2012-01-09,9,0
2012-01-16,9,0
2012-01-23,9,0
2012-01-30,9,0
2012-02-06,9,0
2012-02-13,9,0
2012-02-20,9,0
2012-02-27,9,0
2012-03-05,9,0
2012-03-12,9,0
2012-03-19,9,0
2012-03-26,9,0
2012-04-02,9,0
2012-04-09,9,0
2012-04-16,9,0
2012-04-23,9,0
2012-04-30,9,0
2012-05-07,10,0
2012-05-14,10,0
2012-05-21,10,0
2012-05-28,10,0
2012-06-04,10,0
2012-06-11,10,0
2012-06-18,10,0
2012-06-25,10,0
2012-07-02,10,0
2012-07-09,10,0
2012-07-16,12,0
2012-07-23,15,0
2012-07-30,16,0
2012-08-06,26,0
2012-08-13,34,0
2012-08-20,34,0
2012-08-27,34,0
2012-09-03,34,0
2012-09-10,36,19
2012-09-17,43,21
2012-09-24,49,30
2012-10-01,56,33
2012-10-08,57,35
2012-10-15,61,37
2012-10-22,68,45
2012-10-29,68,45
2012-11-05,70,46
2012-11-12,73,49
2012-11-19,76,52
2012-11-26,79,57
2012-12-03,80,57
2012-12-10,80,58
2012-12-17,80,58
2012-12-24,80,58
2012-12-31,80,58
2013-01-07,80,58
2013-01-14,80,58
2013-01-21,82,59
2013-01-28,85,61
2013-02-04,86,61
2013-02-11,87,61
2013-02-18,87,61
2013-02-25,87,61
2013-03-04,87,62
2013-03-11,88,62
2013-03-18,89,63
2013-03-25,89,63
2013-04-01,90,67
2013-04-08,90,69
2013-04-15,93,71
2013-04-22,93,71
2013-04-29,95,73
2013-05-06,95,73
2013-05-13,97,73
2013-05-20,97,78
2013-05-27,98,83
2013-06-03,100,86
2013-06-10,100,86
2013-06-17,100,86
2013-06-24,101,86
2013-07-01,101,86
2013-07-08,102,86
2013-07-15,103,87
2013-07-22,103,87
2013-07-29,103,87
2013-08-05,104,87
2013-08-12,104,87
2013-08-19,105,87
2013-08-26,106,87
2013-09-02,106,88
2013-09-09,111,93
2013-09-16,111,101
2013-09-23,113,104
2013-09-30,129,105
2013-10-07,129,105
2013-10-14,129,112
2013-10-21,129,112
2013-10-28,129,112
2013-11-04,129,112
2013-11-11,132,116
2013-11-18,132,116
2013-11-25,133,116
2013-12-02,133,118
2013-12-09,133,118
2013-12-16,134,119
2013-12-23,134,119
2013-12-30,135,120
2014-01-06,135,120
2014-01-13,136,120
2014-01-20,136,120
2014-01-27,136,120
2014-02-03,136,120
2014-02-10,136,120
2014-02-17,136,120
2014-02-24,136,120
2014-03-03,136,120
2014-03-10,136,120
2014-03-17,136,121
2014-03-24,136,121
2014-03-31,137,122
2014-04-07,137,122
2014-04-14,137,122
2014-04-21,137,122
2014-04-28,137,122
2014-05-05,137,122
2014-05-12,139,122
2014-05-19,139,122
2014-05-26,141,122
2014-06-02,142,122
2014-06-09,142,122
2014-06-16,142,122
2014-06-23,142,122
2014-06-30,142,122
2014-07-07,143,122
2014-07-14,143,122
2014-07-21,144,123
2014-07-28,144,124
2014-08-04,144,124
2014-08-11,144,124
2014-08-18,146,124
2014-08-25,146,125
2014-09-01,147,125
2014-09-08,147,125
2014-09-15,148,125
2014-09-22,169,128
2014-09-29,169,144
2014-10-06,169,147
2014-10-13,170,147
2014-10-20,170,147
2014-10-27,170,147
2014-11-03,170,147
2014-11-10,170,147
2014-11-17,170,147
2014-11-24,170,147
2014-12-01,170,147
2014-12-08,170,148
2014-12-15,170,148
2014-12-22,170,148
2014-12-29,170,148
2015-01-05,170,148
2015-01-12,170,148
2015-01-19,170,148
2015-01-26,170,148
2015-02-02,170,148
2015-02-09,170,148
2015-02-16,170,148
2015-02-23,170,148
2015-03-02,170,148
2015-03-09,170,148
2015-03-16,170,148
2015-03-23,170,148
2015-03-30,170,148
2015-04-06,170,148
2015-04-13,170,148
2015-04-20,170,148
2015-04-27,170,148
2015-05-04,170,148
2015-05-11,170,148
2015-05-18,171,148
2015-05-25,171,148
2015-06-01,171,148
2015-06-08,172,148
2015-06-15,173,148
2015-06-22,173,148
2015-06-29,174,149
2015-07-06,175,149
2015-07-13,175,149
2015-07-20,175,149
2015-07-27,175,149
2015-08-03,175,149
2015-08-10,176,149
2015-08-17,176,149
2015-08-24,176,149
2015-08-31,176,149
2015-09-07,176,149
2015-09-14,176,149
2015-09-21,176,149
2015-09-28,176,149
2015-10-05,177,149
2015-10-12,177,149
2015-10-19,177,149
2015-10-26,177,154
2015-11-02,177,154
2015-11-09,200,158
2015-11-16,202,161
2015-11-23,202,161
2015-11-30,202,163
2015-12-07,205,166
2015-12-14,205,166
2015-12-21,205,166
2015-12-28,205,166
2016-01-04,205,166
2016-01-11,205,166
2016-01-18,205,166
2016-01-25,206,166
2016-02-01,206,166
2016-02-08,206,166
2016-02-15,206,166
2016-02-22,206,166
2016-02-29,206,166
2016-03-07,206,166
2016-03-14,206,166
2016-03-21,209,169
2016-03-28,210,169
2016-04-04,210,170
2016-04-11,212,171
2016-04-18,213,171
2016-04-25,214,171
2016-05-02,214,171
2016-05-09,214,171
2016-05-16,214,171
2016-05-23,215,171
