week,opened,closed
2009-12-28,0,0
2010-01-04,1,0
2010-01-11,1,0
2010-01-18,1,0
2010-01-25,2,0
2010-02-01,2,0
2010-02-08,2,0
2010-02-15,2,0
2010-02-22,2,0
2010-03-01,2,0
2010-03-08,2,0
2010-03-15,2,0
2010-03-22,2,0
2010-03-29,2,0
2010-04-05,2,0
2010-04-12,2,0
2010-04-19,2,0
2010-04-26,2,0
2010-05-03,3,0
2010-05-10,3,0
2010-05-17,3,0
2010-05-24,3,0
2010-05-31,3,0
2010-06-07,4,0
2010-06-14,4,0
2010-06-21,4,0
2010-06-28,4,0
2010-07-05,4,0
2010-07-12,4,0
2010-07-19,4,0
2010-07-26,4,0
2010-08-02,4,0
2010-08-09,4,0
2010-08-16,4,0
2010-08-23,4,0
2010-08-30,4,0
2010-09-06,4,0
2010-09-13,4,0
2010-09-20,4,0
2010-09-27,4,0
2010-10-04,4,0
2010-10-11,4,0
2010-10-18,4,0
2010-10-25,6,1
2010-11-01,8,1
2010-11-08,8,1
2010-11-15,8,1
2010-11-22,8,2
2010-11-29,9,2
2010-12-06,10,2
2010-12-13,10,2
2010-12-20,10,2
2010-12-27,10,2
2011-01-03,10,2
2011-01-10,13,2
2011-01-17,16,2
2011-01-24,17,2
2011-01-31,19,2
2011-02-07,22,2
2011-02-14,22,2
2011-02-21,23,2
2011-02-28,24,2
2011-03-07,24,4
2011-03-14,25,4
2011-03-21,27,5
2011-03-28,27,5
2011-04-04,28,5
2011-04-11,28,5
2011-04-18,28,5
2011-04-25,28,5
2011-05-02,28,6
2011-05-09,29,6
2011-05-16,30,6
2011-05-23,31,8
2011-05-30,33,9
2011-06-06,36,9
2011-06-13,38,9
2011-06-20,39,10
2011-06-27,42,13
2011-07-04,42,14
2011-07-11,43,14
2011-07-18,43,16
2011-07-25,44,16
2011-08-01,46,17
2011-08-08,46,18
2011-08-15,47,18
2011-08-22,47,19
2011-08-29,53,19
2011-09-05,54,19
2011-09-12,54,24
2011-09-19,55,24
2011-09-26,55,26
2011-10-03,56,26
2011-10-10,58,26
2011-10-17,59,26
2011-10-24,62,28
2011-10-31,63,29
2011-11-07,66,29
2011-11-14,69,29
2011-11-21,71,30
2011-11-28,73,31
2011-12-05,75,31
2011-12-12,77,33
2011-12-19,78,34
2011-12-26,78,36
2012-01-02,80,36
2012-01-09,81,37
2012-01-16,81,37
2012-01-23,83,37
2012-01-30,83,38
2012-02-06,83,40
2012-02-13,84,40
2012-02-20,84,40
2012-02-27,84,40
2012-03-05,84,41
2012-03-12,84,41
2012-03-19,87,41
2012-03-26,88,41
2012-04-02,91,42
2012-04-09,91,42
2012-04-16,91,42
2012-04-23,93,43
2012-04-30,98,43
2012-05-07,99,43
2012-05-14,102,43
2012-05-21,103,43
2012-05-28,106,44
2012-06-04,108,44
2012-06-11,110,45
2012-06-18,112,48
2012-06-25,113,48
2012-07-02,115,48
2012-07-09,122,49
2012-07-16,123,50
2012-07-23,141,56
2012-07-30,148,61
2012-08-06,148,61
2012-08-13,152,62
2012-08-20,158,62
2012-08-27,162,63
2012-09-03,165,65
2012-09-10,168,88
2012-09-17,169,90
2012-09-24,172,94
2012-10-01,177,96
2012-10-08,181,99
2012-10-15,188,102
2012-10-22,199,112
2012-10-29,206,113
2012-11-05,220,116
2012-11-12,228,124
2012-11-19,232,135
2012-11-26,237,136
2012-12-03,243,141
2012-12-10,246,153
2012-12-17,249,157
2012-12-24,250,161
2012-12-31,252,164
2013-01-07,256,167
2013-01-14,257,168
2013-01-21,258,170
2013-01-28,261,172
2013-02-04,262,174
2013-02-11,316,184
2013-02-18,316,185
2013-02-25,319,229
2013-03-04,320,230
2013-03-11,325,232
2013-03-18,327,232
2013-03-25,327,235
2013-04-01,333,239
2013-04-08,333,241
2013-04-15,337,251
2013-04-22,338,254
2013-04-29,345,259
2013-05-06,347,260
2013-05-13,353,263
2013-05-20,357,270
2013-05-27,369,281
2013-06-03,371,282
2013-06-10,375,284
2013-06-17,388,288
2013-06-24,390,289
2013-07-01,391,291
2013-07-08,393,291
2013-07-15,394,299
2013-07-22,401,308
2013-07-29,404,312
2013-08-05,411,315
2013-08-12,417,330
2013-08-19,425,333
2013-08-26,435,339
2013-09-02,443,348
2013-09-09,445,349
2013-09-16,447,355
2013-09-23,451,357
2013-09-30,452,358
2013-10-07,459,369
2013-10-14,463,373
2013-10-21,468,375
2013-10-28,472,378
2013-11-04,477,384
2013-11-11,482,393
2013-11-18,488,397
2013-11-25,491,403
2013-12-02,493,405
2013-12-09,496,411
2013-12-16,497,411
2013-12-23,498,413
2013-12-30,501,417
2014-01-06,508,422
2014-01-13,513,425
2014-01-20,532,443
2014-01-27,541,456
2014-02-03,557,465
2014-02-10,567,466
2014-02-17,574,466
2014-02-24,581,470
2014-03-03,582,474
2014-03-10,592,482
