week,opened,closed
2009-12-28,0,0
2010-01-04,0,0
2010-01-11,0,0
2010-01-18,0,0
2010-01-25,0,0
2010-02-01,0,0
2010-02-08,0,0
2010-02-15,0,0
2010-02-22,0,0
2010-03-01,0,0
2010-03-08,0,0
2010-03-15,0,0
2010-03-22,0,0
2010-03-29,0,0
2010-04-05,0,0
2010-04-12,0,0
2010-04-19,0,0
2010-04-26,0,0
2010-05-03,0,0
2010-05-10,0,0
2010-05-17,0,0
2010-05-24,0,0
2010-05-31,0,0
2010-06-07,0,0
2010-06-14,0,0
2010-06-21,0,0
2010-06-28,0,0
2010-07-05,0,0
2010-07-12,0,0
2010-07-19,0,0
2010-07-26,0,0
2010-08-02,0,0
2010-08-09,0,0
2010-08-16,0,0
2010-08-23,0,0
2010-08-30,0,0
2010-09-06,0,0
2010-09-13,0,0
2010-09-20,0,0
2010-09-27,0,0
2010-10-04,0,0
2010-10-11,0,0
2010-10-18,0,0
2010-10-25,6,0
2010-11-01,13,2
2010-11-08,15,2
2010-11-15,19,7
2010-11-22,22,9
2010-11-29,27,10
2010-12-06,50,18
2010-12-13,53,24
2010-12-20,55,25
2010-12-27,56,29
2011-01-03,56,30
2011-01-10,56,31
2011-01-17,58,33
2011-01-24,61,34
2011-01-31,61,35
2011-02-07,63,35
2011-02-14,66,36
2011-02-21,69,37
2011-02-28,74,38
2011-03-07,76,39
2011-03-14,76,41
2011-03-21,79,44
2011-03-28,81,44
2011-04-04,82,44
2011-04-11,86,45
2011-04-18,88,45
2011-04-25,90,46
2011-05-02,98,47
2011-05-09,99,49
2011-05-16,99,49
2011-05-23,104,49
2011-05-30,105,49
2011-06-06,109,50
2011-06-13,109,52
2011-06-20,110,53
2011-06-27,112,56
2011-07-04,113,56
2011-07-11,116,57
2011-07-18,119,60
2011-07-25,119,65
2011-08-01,122,65
2011-08-08,124,66
2011-08-15,126,67
2011-08-22,127,69
2011-08-29,128,72
2011-09-05,129,74
2011-09-12,129,74
2011-09-19,133,76
2011-09-26,139,77
2011-10-03,144,78
2011-10-10,152,80
2011-10-17,157,81
2011-10-24,165,84
2011-10-31,166,84
2011-11-07,171,86
2011-11-14,179,87
2011-11-21,181,91
2011-11-28,186,93
2011-12-05,190,93
2011-12-12,197,101
2011-12-19,202,102
2011-12-26,202,105
2012-01-02,209,109
2012-01-09,213,111
2012-01-16,214,116
2012-01-23,215,116
2012-01-30,218,118
2012-02-06,221,119
2012-02-13,227,122
2012-02-20,229,123
2012-02-27,230,126
2012-03-05,235,129
2012-03-12,237,129
2012-03-19,240,131
2012-03-26,242,132
2012-04-02,243,134
2012-04-09,245,136
2012-04-16,246,136
2012-04-23,248,139
2012-04-30,250,139
2012-05-07,252,141
2012-05-14,255,142
2012-05-21,258,143
2012-05-28,259,144
2012-06-04,261,144
2012-06-11,264,145
2012-06-18,265,145
2012-06-25,267,145
2012-07-02,267,145
2012-07-09,269,145
2012-07-16,274,145
2012-07-23,275,223
2012-07-30,279,268
2012-08-06,282,271
2012-08-13,288,273
2012-08-20,301,273
2012-08-27,304,274
2012-09-03,306,278
2012-09-10,309,294
2012-09-17,318,294
2012-09-24,321,299
2012-10-01,325,299
2012-10-08,330,300
2012-10-15,343,315
2012-10-22,344,315
2012-10-29,352,317
2012-11-05,368,317
2012-11-12,374,319
2012-11-19,379,322
2012-11-26,389,322
2012-12-03,392,323
2012-12-10,393,323
2012-12-17,398,324
2012-12-24,398,324
2012-12-31,406,325
2013-01-07,409,325
2013-01-14,417,329
2013-01-21,421,330
2013-01-28,423,330
2013-02-04,431,334
2013-02-11,432,337
2013-02-18,434,340
2013-02-25,437,346
2013-03-04,444,346
2013-03-11,446,347
2013-03-18,447,348
2013-03-25,450,349
2013-04-01,450,350
2013-04-08,451,351
2013-04-15,455,408
2013-04-22,458,431
2013-04-29,460,431
2013-05-06,462,431
2013-05-13,469,431
2013-05-20,471,431
2013-05-27,480,434
2013-06-03,483,434
2013-06-10,487,434
2013-06-17,493,434
2013-06-24,501,436
2013-07-01,502,439
2013-07-08,506,439
2013-07-15,508,439
2013-07-22,513,439
2013-07-29,518,448
2013-08-05,524,448
2013-08-12,529,475
2013-08-19,537,492
2013-08-26,547,495
2013-09-02,552,496
2013-09-09,552,496
2013-09-16,558,499
2013-09-23,565,500
2013-09-30,582,501
2013-10-07,585,510
2013-10-14,599,510
2013-10-21,606,511
2013-10-28,633,512
2013-11-04,642,518
2013-11-11,653,521
2013-11-18,664,526
2013-11-25,667,526
2013-12-02,691,532
2013-12-09,694,535
2013-12-16,696,535
2013-12-23,700,535
2013-12-30,704,535
2014-01-06,707,537
2014-01-13,719,537
2014-01-20,723,537
2014-01-27,729,540
2014-02-03,739,544
2014-02-10,744,544
2014-02-17,745,544
2014-02-24,748,546
2014-03-03,754,546
2014-03-10,757,547
2014-03-17,770,547
2014-03-24,777,548
2014-03-31,782,549
2014-04-07,786,549
2014-04-14,794,549
2014-04-21,796,550
2014-04-28,800,551
2014-05-05,806,562
2014-05-12,806,563
2014-05-19,808,563
2014-05-26,810,564
2014-06-02,814,564
2014-06-09,817,564
2014-06-16,821,564
2014-06-23,826,565
2014-06-30,828,565
2014-07-07,831,565
2014-07-14,836,566
2014-07-21,840,568
2014-07-28,846,572
2014-08-04,866,574
2014-08-11,869,574
2014-08-18,884,574
2014-08-25,891,577
2014-09-01,899,582
2014-09-08,905,583
2014-09-15,922,584
2014-09-22,973,586
2014-09-29,983,586
2014-10-06,1003,587
2014-10-13,1020,587
2014-10-20,1034,587
2014-10-27,1054,587
2014-11-03,1065,591
2014-11-10,1083,594
2014-11-17,1101,594
2014-11-24,1116,595
2014-12-01,1129,597
2014-12-08,1137,598
2014-12-15,1143,599
2014-12-22,1144,600
2014-12-29,1151,603
2015-01-05,1154,604
2015-01-12,1164,605
2015-01-19,1177,607
2015-01-26,1177,610
2015-02-02,1182,614
2015-02-09,1187,615
2015-02-16,1187,615
2015-02-23,1189,616
2015-03-02,1192,616
2015-03-09,1198,618
2015-03-16,1201,619
2015-03-23,1207,621
2015-03-30,1209,621
2015-04-06,1211,627
2015-04-13,1217,631
2015-04-20,1224,631
2015-04-27,1233,631
2015-05-04,1240,631
2015-05-11,1247,634
2015-05-18,1253,635
2015-05-25,1258,635
2015-06-01,1261,635
2015-06-08,1327,638
2015-06-15,1379,640
2015-06-22,1398,643
2015-06-29,1404,648
2015-07-06,1408,651
2015-07-13,1415,664
2015-07-20,1420,665
2015-07-27,1425,667
2015-08-03,1428,669
2015-08-10,1433,670
2015-08-17,1438,672
2015-08-24,1440,674
2015-08-31,1446,678
2015-09-07,1454,679
2015-09-14,1457,683
2015-09-21,1489,721
2015-09-28,1518,734
2015-10-05,1527,736
2015-10-12,1532,738
2015-10-19,1541,739
2015-10-26,1547,745
2015-11-02,1552,746
2015-11-09,1561,748
2015-11-16,1568,752
2015-11-23,1575,752
2015-11-30,1579,754
2015-12-07,1585,760
2015-12-14,1599,762
2015-12-21,1602,764
2015-12-28,1605,765
2016-01-04,1611,770
2016-01-11,1615,770
2016-01-18,1617,770
2016-01-25,1621,770
2016-02-01,1627,770
2016-02-08,1629,772
2016-02-15,1632,774
2016-02-22,1643,774
2016-02-29,1646,776
2016-03-07,1649,776
2016-03-14,1651,776
2016-03-21,1655,776
2016-03-28,1658,776
2016-04-04,1663,917
2016-04-11,1668,920
2016-04-18,1670,920
2016-04-25,1673,920
2016-05-02,1728,923
2016-05-09,1732,924
2016-05-16,1734,926
2016-05-23,1762,927
