week,opened,closed
2009-12-28,0,0
2010-01-04,0,0
2010-01-11,0,0
2010-01-18,0,0
2010-01-25,0,0
2010-02-01,0,0
2010-02-08,0,0
2010-02-15,0,0
2010-02-22,0,0
2010-03-01,0,0
2010-03-08,0,0
2010-03-15,0,0
2010-03-22,0,0
2010-03-29,0,0
2010-04-05,0,0
2010-04-12,0,0
2010-04-19,0,0
2010-04-26,0,0
2010-05-03,0,0
2010-05-10,0,0
2010-05-17,0,0
2010-05-24,0,0
2010-05-31,0,0
2010-06-07,0,0
2010-06-14,0,0
2010-06-21,0,0
2010-06-28,0,0
2010-07-05,0,0
2010-07-12,0,0
2010-07-19,0,0
2010-07-26,0,0
2010-08-02,0,0
2010-08-09,1,0
2010-08-16,1,0
2010-08-23,1,0
2010-08-30,1,0
2010-09-06,1,0
2010-09-13,1,0
2010-09-20,1,0
2010-09-27,1,0
2010-10-04,1,0
2010-10-11,1,0
2010-10-18,1,0
2010-10-25,1,0
2010-11-01,3,1
2010-11-08,3,2
2010-11-15,4,2
2010-11-22,4,2
2010-11-29,5,2
2010-12-06,5,2
2010-12-13,8,3
2010-12-20,8,3
2010-12-27,8,3
2011-01-03,10,3
2011-01-10,12,3
2011-01-17,14,4
2011-01-24,20,5
2011-01-31,21,6
2011-02-07,21,6
2011-02-14,22,6
2011-02-21,22,6
2011-02-28,22,6
2011-03-07,22,6
2011-03-14,25,7
2011-03-21,27,7
2011-03-28,28,8
2011-04-04,30,10
2011-04-11,33,10
2011-04-18,33,10
2011-04-25,35,10
2011-05-02,36,10
2011-05-09,37,11
2011-05-16,39,11
2011-05-23,40,11
2011-05-30,42,13
2011-06-06,44,13
2011-06-13,46,13
2011-06-20,47,15
2011-06-27,49,15
2011-07-04,50,17
2011-07-11,50,19
2011-07-18,50,19
2011-07-25,50,19
2011-08-01,51,21
2011-08-08,53,22
2011-08-15,54,22
2011-08-22,56,22
2011-08-29,59,23
2011-09-05,62,23
2011-09-12,66,27
2011-09-19,71,29
2011-09-26,71,29
2011-10-03,72,29
2011-10-10,73,29
2011-10-17,74,29
2011-10-24,74,31
2011-10-31,75,31
2011-11-07,76,32
2011-11-14,76,32
2011-11-21,76,33
2011-11-28,77,33
2011-12-05,77,34
2011-12-12,80,34
2011-12-19,81,35
2011-12-26,81,35
2012-01-02,84,37
2012-01-09,84,38
2012-01-16,89,38
2012-01-23,89,39
2012-01-30,89,39
2012-02-06,89,39
2012-02-13,92,39
2012-02-20,92,40
2012-02-27,94,40
2012-03-05,94,40
2012-03-12,95,41
2012-03-19,96,42
2012-03-26,96,42
2012-04-02,97,42
2012-04-09,99,43
2012-04-16,99,45
2012-04-23,100,46
2012-04-30,101,46
2012-05-07,103,47
2012-05-14,107,48
2012-05-21,111,49
2012-05-28,113,50
2012-06-04,113,50
2012-06-11,114,50
2012-06-18,115,50
2012-06-25,115,51
2012-07-02,117,51
2012-07-09,119,52
2012-07-16,120,53
2012-07-23,121,55
2012-07-30,121,55
2012-08-06,122,55
2012-08-13,122,56
2012-08-20,124,59
2012-08-27,126,61
2012-09-03,127,64
2012-09-10,127,64
2012-09-17,129,64
2012-09-24,129,68
2012-10-01,130,69
2012-10-08,131,69
2012-10-15,132,69
2012-10-22,132,69
2012-10-29,133,69
2012-11-05,134,69
2012-11-12,134,70
2012-11-19,134,70
2012-11-26,135,70
2012-12-03,136,71
2012-12-10,136,71
2012-12-17,137,71
2012-12-24,137,71
2012-12-31,137,71
2013-01-07,137,71
2013-01-14,138,75
2013-01-21,139,76
2013-01-28,140,76
2013-02-04,141,76
2013-02-11,142,76
2013-02-18,143,78
2013-02-25,143,80
2013-03-04,144,82
2013-03-11,144,83
2013-03-18,144,83
2013-03-25,146,83
2013-04-01,147,84
2013-04-08,148,85
2013-04-15,148,86
2013-04-22,149,86
2013-04-29,150,89
2013-05-06,151,90
2013-05-13,151,90
2013-05-20,152,90
2013-05-27,152,90
2013-06-03,154,90
2013-06-10,155,90
2013-06-17,157,91
2013-06-24,160,91
2013-07-01,167,93
2013-07-08,167,93
2013-07-15,170,103
2013-07-22,171,109
2013-07-29,171,109
2013-08-05,172,112
2013-08-12,172,112
2013-08-19,172,113
2013-08-26,173,115
2013-09-02,173,116
2013-09-09,174,117
2013-09-16,174,117
2013-09-23,176,118
2013-09-30,176,118
2013-10-07,176,119
2013-10-14,177,119
2013-10-21,178,120
2013-10-28,178,121
2013-11-04,179,122
2013-11-11,179,125
2013-11-18,181,125
2013-11-25,181,125
2013-12-02,183,125
2013-12-09,183,125
2013-12-16,183,125
2013-12-23,183,125
2013-12-30,183,125
2014-01-06,184,127
2014-01-13,184,130
2014-01-20,184,130
2014-01-27,184,130
2014-02-03,184,130
2014-02-10,186,130
2014-02-17,186,130
2014-02-24,189,130
2014-03-03,190,131
2014-03-10,192,133
2014-03-17,192,133
2014-03-24,192,134
2014-03-31,192,134
2014-04-07,193,134
2014-04-14,193,136
2014-04-21,193,136
2014-04-28,193,136
2014-05-05,194,136
2014-05-12,194,136
2014-05-19,196,136
2014-05-26,197,136
2014-06-02,197,136
2014-06-09,197,136
2014-06-16,197,136
2014-06-23,197,137
2014-06-30,197,137
2014-07-07,197,137
2014-07-14,197,137
2014-07-21,197,137
2014-07-28,197,138
2014-08-04,197,138
2014-08-11,198,138
2014-08-18,198,138
2014-08-25,198,139
2014-09-01,200,141
2014-09-08,201,141
2014-09-15,202,141
2014-09-22,202,141
2014-09-29,203,142
2014-10-06,203,142
2014-10-13,203,143
2014-10-20,204,144
2014-10-27,206,144
2014-11-03,206,145
2014-11-10,207,145
2014-11-17,207,145
2014-11-24,207,145
2014-12-01,207,148
2014-12-08,209,148
2014-12-15,210,148
2014-12-22,210,148
2014-12-29,210,148
2015-01-05,210,148
2015-01-12,212,148
2015-01-19,212,150
2015-01-26,213,150
2015-02-02,214,150
2015-02-09,214,151
2015-02-16,214,151
2015-02-23,214,151
2015-03-02,215,151
2015-03-09,216,151
2015-03-16,219,151
2015-03-23,219,151
2015-03-30,219,151
2015-04-06,220,151
2015-04-13,220,151
2015-04-20,220,151
2015-04-27,222,151
2015-05-04,222,151
2015-05-11,222,151
2015-05-18,222,151
2015-05-25,225,151
2015-06-01,226,152
2015-06-08,226,152
2015-06-15,226,152
2015-06-22,226,152
2015-06-29,226,152
2015-07-06,227,153
2015-07-13,227,153
2015-07-20,227,153
2015-07-27,228,154
2015-08-03,228,154
2015-08-10,229,154
2015-08-17,229,155
2015-08-24,231,155
2015-08-31,231,156
2015-09-07,231,157
2015-09-14,231,157
2015-09-21,231,157
2015-09-28,231,157
2015-10-05,231,157
2015-10-12,231,157
2015-10-19,231,157
2015-10-26,231,193
2015-11-02,231,193
2015-11-09,231,193
2015-11-16,231,193
2015-11-23,232,193
2015-11-30,233,193
2015-12-07,233,194
2015-12-14,234,194
2015-12-21,234,194
2015-12-28,235,194
2016-01-04,236,194
2016-01-11,236,194
2016-01-18,237,194
2016-01-25,237,194
2016-02-01,237,194
2016-02-08,237,194
2016-02-15,237,194
2016-02-22,237,194
2016-02-29,237,194
2016-03-07,237,194
2016-03-14,237,194
2016-03-21,237,194
2016-03-28,238,194
2016-04-04,239,195
2016-04-11,240,195
2016-04-18,242,195
2016-04-25,242,195
2016-05-02,242,195
2016-05-09,243,195
2016-05-16,243,195
2016-05-23,244,195
